CircuitLength,DesignedLaps,TrackTemp,AirTemp,EventEncoded
5303,58,37.40833333333334,26.69743589743589,2
5412,57,27.548148148148147,25.09907407407407,5
4657,66,32.9223076923077,22.203076923076924,22
5000,87,23.469291338582668,20.947244094488195,20
5513,56,37.47080745341616,28.148447204968942,27
5793,53,41.201398601398594,28.090909090909093,13
4909,63,23.2608,18.0304,10
4318,71,52.025,28.684166666666663,3
5000,66,38.95074626865672,19.392537313432832,17
5000,53,35.22879999999999,25.3144,11
5000,58,18.18089171974522,15.82547770700637,25
5412,56,27.627819548872186,20.53834586466165,5
5000,53,40.34242424242424,28.80606060606061,19
4259,72,36.10569620253165,21.50443037974684,8
5793,53,41.201398601398594,28.090909090909093,13
4909,63,16.827329192546582,10.62111801242236,10
4909,63,17.41898734177215,12.899367088607592,10
4381,70,27.129850746268666,20.74179104477612,12
7004,44,29.82396694214876,18.568595041322315,6
5891,52,50.93152173913043,29.4,7
5891,52,40.6328125,21.29140625,7
5000,66,38.95074626865672,19.392537313432832,17
4909,63,23.2608,18.0304,10
5000,57,30.60328947368421,26.41513157894737,18
5000,57,30.60328947368421,26.41513157894737,18
5000,71,39.92,20.8225,23
5000,71,52.35254237288136,26.692372881355933,23
4318,71,33.18397435897436,20.96602564102564,3
4381,70,37.822513089005234,27.226701570680625,12
4318,71,33.18397435897436,20.96602564102564,3
5000,58,18.18089171974522,15.82547770700637,25
7004,44,29.82396694214876,18.568595041322315,6
5000,52,43.22758620689656,25.287068965517243,0
5891,52,40.6328125,21.29140625,7
5000,53,21.75696202531645,19.13860759493671,19
5000,57,30.60328947368421,26.41513157894737,18
5303,58,37.40833333333334,26.69743589743589,2
5412,57,28.61042944785276,23.617791411042944,5
5281,58,28.4656050955414,24.519108280254777,1
5000,58,18.18089171974522,15.82547770700637,25
5000,51,38.31453488372093,24.17093023255814,4
5303,58,37.40833333333334,26.69743589743589,2
5000,71,39.92,20.8225,23
5000,58,18.18089171974522,15.82547770700637,25
5000,71,52.35254237288136,26.692372881355933,23
5412,56,27.627819548872186,20.53834586466165,5
4259,72,36.10569620253165,21.50443037974684,8
5000,52,43.22758620689656,25.287068965517243,0
5891,52,40.6328125,21.29140625,7
4909,63,23.2608,18.0304,10
4318,71,33.18397435897436,20.96602564102564,3
5000,71,39.92,20.8225,23
5000,58,15.205755395683456,13.09568345323741,25
4909,63,23.2608,18.0304,10
5793,53,43.52751677852349,28.885234899328864,13
5412,57,42.81975308641975,30.617283950617285,15
5000,66,25.715625,20.50546875,17
5281,58,28.4656050955414,24.519108280254777,1
5412,57,27.548148148148147,25.09907407407407,5
5000,53,21.75696202531645,19.13860759493671,19
3337,78,37.59555555555556,20.760740740740744,16
6174,50,28.40921052631579,25.42039473684211,21
5513,56,37.47080745341616,28.148447204968942,27
5412,57,28.61042944785276,23.617791411042944,5
4909,63,23.2608,18.0304,10
5891,52,50.93152173913043,29.4,7
5000,71,52.35254237288136,26.692372881355933,23
5000,60,16.360204081632652,9.499999999999998,9
5412,56,27.627819548872186,20.53834586466165,5
5000,53,21.75696202531645,19.13860759493671,19
5000,58,18.18089171974522,15.82547770700637,25
5000,87,23.469291338582668,20.947244094488195,20
5793,53,41.201398601398594,28.090909090909093,13
5000,58,15.205755395683456,13.09568345323741,25
5303,58,37.40833333333334,26.69743589743589,2
5303,58,37.40833333333334,26.69743589743589,2
5000,60,16.360204081632652,9.499999999999998,9
5000,53,35.22879999999999,25.3144,11
5412,57,28.61042944785276,23.617791411042944,5
5793,53,43.52751677852349,28.885234899328864,13
5000,53,35.22879999999999,25.3144,11
5000,51,38.31453488372093,24.17093023255814,4
4657,66,32.9223076923077,22.203076923076924,22
4381,70,37.822513089005234,27.226701570680625,12
4657,66,47.55581395348836,29.7968992248062,22
7004,44,29.82396694214876,18.568595041322315,6
5412,57,28.61042944785276,23.617791411042944,5
5412,57,27.548148148148147,25.09907407407407,5
5412,57,28.61042944785276,23.617791411042944,5
5412,56,27.627819548872186,20.53834586466165,5
4657,66,47.55581395348836,29.7968992248062,22
4318,71,52.025,28.684166666666663,3
4657,66,47.55581395348836,29.7968992248062,22
5513,56,37.47080745341616,28.148447204968942,27
5000,53,35.22879999999999,25.3144,11
6174,50,28.40921052631579,25.42039473684211,21
5303,58,37.40833333333334,26.69743589743589,2
5000,57,30.60328947368421,26.41513157894737,18
5513,56,37.47080745341616,28.148447204968942,27
4318,71,33.18397435897436,20.96602564102564,3
5000,71,52.35254237288136,26.692372881355933,23
4318,71,52.025,28.684166666666663,3
5793,53,41.201398601398594,28.090909090909093,13
5000,71,39.92,20.8225,23
4381,70,27.129850746268666,20.74179104477612,12
4381,70,27.129850746268666,20.74179104477612,12
5000,52,43.22758620689656,25.287068965517243,0
5000,60,16.360204081632652,9.499999999999998,9
5000,57,30.60328947368421,26.41513157894737,18
5281,58,28.4656050955414,24.519108280254777,1
5000,71,52.35254237288136,26.692372881355933,23
5000,60,16.360204081632652,9.499999999999998,9
5891,52,50.93152173913043,29.4,7
4259,72,36.10569620253165,21.50443037974684,8
5000,60,16.360204081632652,9.499999999999998,9
6174,50,28.40921052631579,25.42039473684211,21
5000,53,21.75696202531645,19.13860759493671,19
5000,87,23.469291338582668,20.947244094488195,20
5412,56,27.627819548872186,20.53834586466165,5
4318,71,52.025,28.684166666666663,3
4318,71,33.18397435897436,20.96602564102564,3
5000,87,23.469291338582668,20.947244094488195,20
4309,71,51.56139240506329,23.1373417721519,24
5000,66,38.95074626865672,19.392537313432832,17
5000,53,21.75696202531645,19.13860759493671,19
5000,58,18.18089171974522,15.82547770700637,25
4657,66,32.9223076923077,22.203076923076924,22
5281,55,27.98,23.12148148148148,1
5000,53,35.22879999999999,25.3144,11
4318,71,52.025,28.684166666666663,3
5412,57,27.548148148148147,25.09907407407407,5
5000,71,39.92,20.8225,23
5000,58,15.205755395683456,13.09568345323741,25
4259,72,36.10569620253165,21.50443037974684,8
5412,57,42.81975308641975,30.617283950617285,15
5000,71,52.35254237288136,26.692372881355933,23
6174,50,31.68497409326425,28.816062176165804,21
4909,63,23.2608,18.0304,10
5891,52,50.93152173913043,29.4,7
4657,66,47.55581395348836,29.7968992248062,22
5000,66,38.95074626865672,19.392537313432832,17
5000,53,35.22879999999999,25.3144,11
4318,71,33.18397435897436,20.96602564102564,3
5281,55,27.98,23.12148148148148,1
5000,66,25.715625,20.50546875,17
5000,57,30.60328947368421,26.41513157894737,18
5000,66,38.95074626865672,19.392537313432832,17
5000,53,40.34242424242424,28.80606060606061,19
5000,52,43.22758620689656,25.287068965517243,0
5000,51,38.31453488372093,24.17093023255814,4
5281,55,27.98,23.12148148148148,1
5000,52,43.22758620689656,25.287068965517243,0
4318,71,33.18397435897436,20.96602564102564,3
5000,66,25.715625,20.50546875,17
5281,55,27.98,23.12148148148148,1
5000,58,15.205755395683456,13.09568345323741,25
4657,66,47.55581395348836,29.7968992248062,22
6174,50,31.68497409326425,28.816062176165804,21
7004,44,29.82396694214876,18.568595041322315,6
5793,53,41.201398601398594,28.090909090909093,13
5000,57,30.60328947368421,26.41513157894737,18
5412,56,27.627819548872186,20.53834586466165,5
5000,58,15.205755395683456,13.09568345323741,25
4318,71,52.025,28.684166666666663,3
5412,57,42.81975308641975,30.617283950617285,15
3337,78,37.59555555555556,20.760740740740744,16
5281,58,28.4656050955414,24.519108280254777,1
5000,57,30.60328947368421,26.41513157894737,18
5281,55,27.98,23.12148148148148,1
7004,44,29.82396694214876,18.568595041322315,6
5000,58,15.205755395683456,13.09568345323741,25
4657,66,32.9223076923077,22.203076923076924,22
3337,78,37.59555555555556,20.760740740740744,16
5281,55,27.98,23.12148148148148,1
5000,66,38.95074626865672,19.392537313432832,17
5793,53,43.52751677852349,28.885234899328864,13
5000,53,40.34242424242424,28.80606060606061,19
4318,71,33.18397435897436,20.96602564102564,3
5793,53,43.52751677852349,28.885234899328864,13
6174,50,28.40921052631579,25.42039473684211,21
5000,58,18.18089171974522,15.82547770700637,25
5281,55,27.98,23.12148148148148,1
5000,53,21.75696202531645,19.13860759493671,19
4909,63,16.827329192546582,10.62111801242236,10
4909,63,16.827329192546582,10.62111801242236,10
4381,70,27.129850746268666,20.74179104477612,12
5000,87,23.469291338582668,20.947244094488195,20
5000,66,25.715625,20.50546875,17
5412,57,42.81975308641975,30.617283950617285,15
6174,50,31.68497409326425,28.816062176165804,21
7004,44,29.82396694214876,18.568595041322315,6
5891,52,40.6328125,21.29140625,7
5412,57,42.81975308641975,30.617283950617285,15
4318,71,33.18397435897436,20.96602564102564,3
4657,66,47.55581395348836,29.7968992248062,22
5000,53,35.22879999999999,25.3144,11
5412,57,28.61042944785276,23.617791411042944,5
5000,58,18.18089171974522,15.82547770700637,25
5281,58,28.4656050955414,24.519108280254777,1
5000,60,16.360204081632652,9.499999999999998,9
5412,56,27.627819548872186,20.53834586466165,5
4304,71,47.579268292682926,21.206707317073167,14
5000,53,35.22879999999999,25.3144,11
4909,63,17.41898734177215,12.899367088607592,10
5000,53,40.34242424242424,28.80606060606061,19
5793,53,41.201398601398594,28.090909090909093,13
5000,57,30.60328947368421,26.41513157894737,18
5281,58,28.4656050955414,24.519108280254777,1
5000,66,25.715625,20.50546875,17
4259,72,36.10569620253165,21.50443037974684,8
5891,52,50.93152173913043,29.4,7
5000,53,35.22879999999999,25.3144,11
5412,57,42.81975308641975,30.617283950617285,15
6174,50,28.40921052631579,25.42039473684211,21
5000,66,38.95074626865672,19.392537313432832,17
3337,78,37.59555555555556,20.760740740740744,16
6174,50,28.40921052631579,25.42039473684211,21
5000,59,43.10227272727273,30.16988636363636,26
5793,53,41.201398601398594,28.090909090909093,13
5891,52,50.93152173913043,29.4,7
5000,66,38.95074626865672,19.392537313432832,17
5000,71,39.92,20.8225,23
5000,60,16.360204081632652,9.499999999999998,9
5000,57,30.60328947368421,26.41513157894737,18
4909,63,16.827329192546582,10.62111801242236,10
5303,58,37.40833333333334,26.69743589743589,2
4318,71,52.025,28.684166666666663,3
5412,56,27.627819548872186,20.53834586466165,5
3337,78,37.59555555555556,20.760740740740744,16
5000,71,39.92,20.8225,23
5513,56,37.47080745341616,28.148447204968942,27
5000,60,16.360204081632652,9.499999999999998,9
4381,70,27.129850746268666,20.74179104477612,12
5513,56,37.47080745341616,28.148447204968942,27
5412,57,27.548148148148147,25.09907407407407,5
5412,56,27.627819548872186,20.53834586466165,5
4259,72,36.10569620253165,21.50443037974684,8
5281,55,27.98,23.12148148148148,1
5000,53,40.34242424242424,28.80606060606061,19
5793,53,41.201398601398594,28.090909090909093,13
5000,53,21.75696202531645,19.13860759493671,19
4657,66,32.9223076923077,22.203076923076924,22
5412,56,27.627819548872186,20.53834586466165,5
7004,44,29.82396694214876,18.568595041322315,6
4909,63,17.41898734177215,12.899367088607592,10
5000,60,16.360204081632652,9.499999999999998,9
3337,78,37.59555555555556,20.760740740740744,16
5412,57,28.61042944785276,23.617791411042944,5
5891,52,40.6328125,21.29140625,7
5793,53,43.52751677852349,28.885234899328864,13
5000,58,15.205755395683456,13.09568345323741,25
5281,55,27.98,23.12148148148148,1
5000,71,39.92,20.8225,23
6174,50,28.40921052631579,25.42039473684211,21
5000,66,38.95074626865672,19.392537313432832,17
5000,87,23.469291338582668,20.947244094488195,20
5412,57,42.81975308641975,30.617283950617285,15
5412,57,42.81975308641975,30.617283950617285,15
5000,66,25.715625,20.50546875,17
4909,63,17.41898734177215,12.899367088607592,10
5412,57,28.61042944785276,23.617791411042944,5
5000,71,52.35254237288136,26.692372881355933,23
4657,66,47.55581395348836,29.7968992248062,22
5000,66,25.715625,20.50546875,17
5412,56,27.627819548872186,20.53834586466165,5
4259,72,36.10569620253165,21.50443037974684,8
5000,58,18.18089171974522,15.82547770700637,25
6174,50,28.40921052631579,25.42039473684211,21
5000,53,21.75696202531645,19.13860759493671,19
5412,57,28.61042944785276,23.617791411042944,5
4259,72,36.10569620253165,21.50443037974684,8
4318,71,52.025,28.684166666666663,3
5412,57,42.81975308641975,30.617283950617285,15
4381,70,27.129850746268666,20.74179104477612,12
5891,52,50.93152173913043,29.4,7
5513,56,37.47080745341616,28.148447204968942,27
5000,60,16.360204081632652,9.499999999999998,9
5000,71,39.92,20.8225,23
4381,70,27.129850746268666,20.74179104477612,12
4909,63,17.41898734177215,12.899367088607592,10
6174,50,28.40921052631579,25.42039473684211,21
4318,71,52.025,28.684166666666663,3
5793,53,43.52751677852349,28.885234899328864,13
6174,50,31.68497409326425,28.816062176165804,21
4909,63,16.827329192546582,10.62111801242236,10
6174,50,28.40921052631579,25.42039473684211,21
5281,55,27.98,23.12148148148148,1
4657,66,47.55581395348836,29.7968992248062,22
5281,55,27.98,23.12148148148148,1
4381,70,37.822513089005234,27.226701570680625,12
5000,58,15.205755395683456,13.09568345323741,25
5000,71,39.92,20.8225,23
5000,57,30.60328947368421,26.41513157894737,18
5000,87,23.469291338582668,20.947244094488195,20
4318,71,33.18397435897436,20.96602564102564,3
5891,52,40.6328125,21.29140625,7
3337,78,37.59555555555556,20.760740740740744,16
5000,58,15.205755395683456,13.09568345323741,25
4381,70,27.129850746268666,20.74179104477612,12
5000,53,40.34242424242424,28.80606060606061,19
5000,58,15.205755395683456,13.09568345323741,25
4909,63,17.41898734177215,12.899367088607592,10
5000,51,38.31453488372093,24.17093023255814,4
5000,51,38.31453488372093,24.17093023255814,4
5891,52,50.93152173913043,29.4,7
5000,60,16.360204081632652,9.499999999999998,9
6174,50,31.68497409326425,28.816062176165804,21
5793,53,41.201398601398594,28.090909090909093,13
5000,58,18.18089171974522,15.82547770700637,25
5000,66,25.715625,20.50546875,17
5281,58,28.4656050955414,24.519108280254777,1
5281,58,28.4656050955414,24.519108280254777,1
4909,63,17.41898734177215,12.899367088607592,10
5793,53,43.52751677852349,28.885234899328864,13
5793,53,43.52751677852349,28.885234899328864,13
4909,63,17.41898734177215,12.899367088607592,10
6174,50,31.68497409326425,28.816062176165804,21
5281,58,28.4656050955414,24.519108280254777,1
5000,52,43.22758620689656,25.287068965517243,0
5793,53,43.52751677852349,28.885234899328864,13
5000,60,16.360204081632652,9.499999999999998,9
5891,52,50.93152173913043,29.4,7
5793,53,43.52751677852349,28.885234899328864,13
5000,60,16.360204081632652,9.499999999999998,9
4909,63,16.827329192546582,10.62111801242236,10
5000,66,25.715625,20.50546875,17
5000,53,21.75696202531645,19.13860759493671,19
3337,78,37.59555555555556,20.760740740740744,16
5000,53,35.22879999999999,25.3144,11
5412,57,28.61042944785276,23.617791411042944,5
5000,58,18.18089171974522,15.82547770700637,25
5000,53,40.34242424242424,28.80606060606061,19
4309,71,51.56139240506329,23.1373417721519,24
5281,58,28.4656050955414,24.519108280254777,1
7004,44,29.82396694214876,18.568595041322315,6
5000,58,15.205755395683456,13.09568345323741,25
5000,53,21.75696202531645,19.13860759493671,19
4309,71,51.56139240506329,23.1373417721519,24
4657,66,47.55581395348836,29.7968992248062,22
4318,71,33.18397435897436,20.96602564102564,3
5000,71,52.35254237288136,26.692372881355933,23
4304,71,47.579268292682926,21.206707317073167,14
6174,50,31.68497409326425,28.816062176165804,21
5000,52,43.22758620689656,25.287068965517243,0
7004,44,29.82396694214876,18.568595041322315,6
5000,71,52.35254237288136,26.692372881355933,23
4909,63,17.41898734177215,12.899367088607592,10
7004,44,29.82396694214876,18.568595041322315,6
5891,52,40.6328125,21.29140625,7
5000,53,40.34242424242424,28.80606060606061,19
5000,71,52.35254237288136,26.692372881355933,23
5303,58,37.40833333333334,26.69743589743589,2
4909,63,23.2608,18.0304,10
5000,53,21.75696202531645,19.13860759493671,19
5281,58,28.4656050955414,24.519108280254777,1
6174,50,31.68497409326425,28.816062176165804,21
5303,58,37.40833333333334,26.69743589743589,2
4318,71,52.025,28.684166666666663,3
6174,50,31.68497409326425,28.816062176165804,21
5000,53,21.75696202531645,19.13860759493671,19
5000,57,30.60328947368421,26.41513157894737,18
4381,70,27.129850746268666,20.74179104477612,12
5891,52,50.93152173913043,29.4,7
5793,53,41.201398601398594,28.090909090909093,13
5412,57,27.548148148148147,25.09907407407407,5
5412,56,27.627819548872186,20.53834586466165,5
5513,56,37.47080745341616,28.148447204968942,27
5000,58,18.18089171974522,15.82547770700637,25
5000,58,18.18089171974522,15.82547770700637,25
5000,87,23.469291338582668,20.947244094488195,20
5412,56,27.627819548872186,20.53834586466165,5
5000,71,52.35254237288136,26.692372881355933,23
5000,53,40.34242424242424,28.80606060606061,19
4309,71,51.56139240506329,23.1373417721519,24
5412,57,28.61042944785276,23.617791411042944,5
5793,53,43.52751677852349,28.885234899328864,13
5000,53,40.34242424242424,28.80606060606061,19
5000,53,40.34242424242424,28.80606060606061,19
5000,58,18.18089171974522,15.82547770700637,25
6174,50,28.40921052631579,25.42039473684211,21
5513,56,37.47080745341616,28.148447204968942,27
4657,66,32.9223076923077,22.203076923076924,22
4381,70,37.822513089005234,27.226701570680625,12
5000,66,38.95074626865672,19.392537313432832,17
5000,66,25.715625,20.50546875,17
5793,53,41.201398601398594,28.090909090909093,13
6174,50,31.68497409326425,28.816062176165804,21
5000,59,43.10227272727273,30.16988636363636,26
4909,63,17.41898734177215,12.899367088607592,10
5000,66,25.715625,20.50546875,17
5281,55,27.98,23.12148148148148,1
5412,56,27.627819548872186,20.53834586466165,5
5000,53,35.22879999999999,25.3144,11
7004,44,29.82396694214876,18.568595041322315,6
5000,66,25.715625,20.50546875,17
4909,63,23.2608,18.0304,10
4318,71,33.18397435897436,20.96602564102564,3
5412,57,27.548148148148147,25.09907407407407,5
5000,71,52.35254237288136,26.692372881355933,23
5412,57,28.61042944785276,23.617791411042944,5
5793,53,41.201398601398594,28.090909090909093,13
5000,71,52.35254237288136,26.692372881355933,23
4304,71,47.579268292682926,21.206707317073167,14
4304,71,47.579268292682926,21.206707317073167,14
5000,58,15.205755395683456,13.09568345323741,25
5412,57,42.81975308641975,30.617283950617285,15
5000,57,30.60328947368421,26.41513157894737,18
6174,50,28.40921052631579,25.42039473684211,21
5303,58,37.40833333333334,26.69743589743589,2
5000,53,35.22879999999999,25.3144,11
4909,63,17.41898734177215,12.899367088607592,10
5000,53,21.75696202531645,19.13860759493671,19
5000,87,23.469291338582668,20.947244094488195,20
5891,52,50.93152173913043,29.4,7
5793,53,43.52751677852349,28.885234899328864,13
7004,44,29.82396694214876,18.568595041322315,6
5000,58,15.205755395683456,13.09568345323741,25
5281,58,28.4656050955414,24.519108280254777,1
5000,51,38.31453488372093,24.17093023255814,4
5000,58,15.205755395683456,13.09568345323741,25
4304,71,47.579268292682926,21.206707317073167,14
4909,63,16.827329192546582,10.62111801242236,10
5000,71,52.35254237288136,26.692372881355933,23
5412,57,28.61042944785276,23.617791411042944,5
3337,78,37.59555555555556,20.760740740740744,16
5000,87,23.469291338582668,20.947244094488195,20
5281,55,27.98,23.12148148148148,1
5000,51,38.31453488372093,24.17093023255814,4
5000,53,35.22879999999999,25.3144,11
5000,58,15.205755395683456,13.09568345323741,25
5303,58,37.40833333333334,26.69743589743589,2
5000,57,30.60328947368421,26.41513157894737,18
4259,72,36.10569620253165,21.50443037974684,8
4657,66,32.9223076923077,22.203076923076924,22
5000,53,21.75696202531645,19.13860759493671,19
5412,57,42.81975308641975,30.617283950617285,15
6174,50,28.40921052631579,25.42039473684211,21
5412,57,28.61042944785276,23.617791411042944,5
5281,58,28.4656050955414,24.519108280254777,1
6174,50,31.68497409326425,28.816062176165804,21
5513,56,37.47080745341616,28.148447204968942,27
4304,71,47.579268292682926,21.206707317073167,14
5000,52,43.22758620689656,25.287068965517243,0
5412,57,27.548148148148147,25.09907407407407,5
5000,53,40.34242424242424,28.80606060606061,19
5000,58,18.18089171974522,15.82547770700637,25
4381,70,27.129850746268666,20.74179104477612,12
5000,58,18.18089171974522,15.82547770700637,25
5000,60,16.360204081632652,9.499999999999998,9
5281,58,28.4656050955414,24.519108280254777,1
6174,50,31.68497409326425,28.816062176165804,21
5303,58,37.40833333333334,26.69743589743589,2
4657,66,47.55581395348836,29.7968992248062,22
4304,71,47.579268292682926,21.206707317073167,14
5412,57,27.548148148148147,25.09907407407407,5
4304,71,47.579268292682926,21.206707317073167,14
4381,70,37.822513089005234,27.226701570680625,12
5513,56,37.47080745341616,28.148447204968942,27
5412,57,28.61042944785276,23.617791411042944,5
4909,63,23.2608,18.0304,10
5000,53,35.22879999999999,25.3144,11
5000,53,35.22879999999999,25.3144,11
6174,50,31.68497409326425,28.816062176165804,21
4909,63,23.2608,18.0304,10
4318,71,52.025,28.684166666666663,3
5412,57,28.61042944785276,23.617791411042944,5
6174,50,31.68497409326425,28.816062176165804,21
5513,56,37.47080745341616,28.148447204968942,27
4657,66,47.55581395348836,29.7968992248062,22
4304,71,47.579268292682926,21.206707317073167,14
5000,71,52.35254237288136,26.692372881355933,23
5793,53,43.52751677852349,28.885234899328864,13
4381,70,27.129850746268666,20.74179104477612,12
4381,70,27.129850746268666,20.74179104477612,12
4909,63,23.2608,18.0304,10
5793,53,41.201398601398594,28.090909090909093,13
5000,71,39.92,20.8225,23
5412,57,28.61042944785276,23.617791411042944,5
5000,58,15.205755395683456,13.09568345323741,25
5793,53,43.52751677852349,28.885234899328864,13
5000,51,38.31453488372093,24.17093023255814,4
5412,56,27.627819548872186,20.53834586466165,5
5000,71,52.35254237288136,26.692372881355933,23
5000,53,35.22879999999999,25.3144,11
5000,57,30.60328947368421,26.41513157894737,18
5793,53,43.52751677852349,28.885234899328864,13
5793,53,41.201398601398594,28.090909090909093,13
5891,52,40.6328125,21.29140625,7
4259,72,36.10569620253165,21.50443037974684,8
5793,53,41.201398601398594,28.090909090909093,13
4909,63,17.41898734177215,12.899367088607592,10
5000,53,21.75696202531645,19.13860759493671,19
5891,52,40.6328125,21.29140625,7
4318,71,52.025,28.684166666666663,3
5000,53,40.34242424242424,28.80606060606061,19
4381,70,27.129850746268666,20.74179104477612,12
5793,53,43.52751677852349,28.885234899328864,13
5000,51,38.31453488372093,24.17093023255814,4
5000,66,25.715625,20.50546875,17
4909,63,23.2608,18.0304,10
5891,52,40.6328125,21.29140625,7
4657,66,32.9223076923077,22.203076923076924,22
5412,56,27.627819548872186,20.53834586466165,5
5412,57,27.548148148148147,25.09907407407407,5
4381,70,37.822513089005234,27.226701570680625,12
5891,52,50.93152173913043,29.4,7
5412,57,42.81975308641975,30.617283950617285,15
5281,55,27.98,23.12148148148148,1
4909,63,23.2608,18.0304,10
5000,60,16.360204081632652,9.499999999999998,9
5513,56,37.47080745341616,28.148447204968942,27
5000,71,52.35254237288136,26.692372881355933,23
4259,72,36.10569620253165,21.50443037974684,8
4657,66,47.55581395348836,29.7968992248062,22
4304,71,47.579268292682926,21.206707317073167,14
5000,53,35.22879999999999,25.3144,11
4318,71,52.025,28.684166666666663,3
4909,63,17.41898734177215,12.899367088607592,10
5513,56,37.47080745341616,28.148447204968942,27
5000,52,43.22758620689656,25.287068965517243,0
4909,63,23.2608,18.0304,10
4381,70,27.129850746268666,20.74179104477612,12
5000,53,21.75696202531645,19.13860759493671,19
4318,71,33.18397435897436,20.96602564102564,3
5891,52,50.93152173913043,29.4,7
3337,78,37.59555555555556,20.760740740740744,16
4657,66,47.55581395348836,29.7968992248062,22
4657,66,32.9223076923077,22.203076923076924,22
4304,71,47.579268292682926,21.206707317073167,14
4657,66,32.9223076923077,22.203076923076924,22
5412,57,27.548148148148147,25.09907407407407,5
4318,71,52.025,28.684166666666663,3
4909,63,16.827329192546582,10.62111801242236,10
5000,57,30.60328947368421,26.41513157894737,18
5000,53,35.22879999999999,25.3144,11
5281,55,27.98,23.12148148148148,1
5000,60,16.360204081632652,9.499999999999998,9
5412,57,42.81975308641975,30.617283950617285,15
5412,57,28.61042944785276,23.617791411042944,5
4259,72,36.10569620253165,21.50443037974684,8
5412,57,42.81975308641975,30.617283950617285,15
5000,53,21.75696202531645,19.13860759493671,19
5412,57,27.548148148148147,25.09907407407407,5
4304,71,47.579268292682926,21.206707317073167,14
4304,71,47.579268292682926,21.206707317073167,14
5303,58,37.40833333333334,26.69743589743589,2
5000,66,25.715625,20.50546875,17
4259,72,36.10569620253165,21.50443037974684,8
5303,58,37.40833333333334,26.69743589743589,2
5000,53,21.75696202531645,19.13860759493671,19
5891,52,40.6328125,21.29140625,7
4259,72,36.10569620253165,21.50443037974684,8
5513,56,37.47080745341616,28.148447204968942,27
5412,57,27.548148148148147,25.09907407407407,5
5000,71,39.92,20.8225,23
4909,63,16.827329192546582,10.62111801242236,10
4381,70,37.822513089005234,27.226701570680625,12
5000,53,40.34242424242424,28.80606060606061,19
5281,55,27.98,23.12148148148148,1
5000,66,25.715625,20.50546875,17
5000,53,35.22879999999999,25.3144,11
5000,71,52.35254237288136,26.692372881355933,23
5793,53,43.52751677852349,28.885234899328864,13
4657,66,32.9223076923077,22.203076923076924,22
4909,63,16.827329192546582,10.62111801242236,10
6174,50,28.40921052631579,25.42039473684211,21
5793,53,41.201398601398594,28.090909090909093,13
6174,50,28.40921052631579,25.42039473684211,21
4657,66,47.55581395348836,29.7968992248062,22
5000,51,38.31453488372093,24.17093023255814,4
4657,66,47.55581395348836,29.7968992248062,22
4381,70,37.822513089005234,27.226701570680625,12
5000,66,38.95074626865672,19.392537313432832,17
4909,63,23.2608,18.0304,10
4259,72,36.10569620253165,21.50443037974684,8
7004,44,29.82396694214876,18.568595041322315,6
6174,50,31.68497409326425,28.816062176165804,21
5000,71,39.92,20.8225,23
4909,63,17.41898734177215,12.899367088607592,10
5000,52,43.22758620689656,25.287068965517243,0
7004,44,29.82396694214876,18.568595041322315,6
5281,55,27.98,23.12148148148148,1
4318,71,33.18397435897436,20.96602564102564,3
4657,66,47.55581395348836,29.7968992248062,22
